Date,Close,Revenue,Net Income,Recommendation
2023-01-03,125.07,383285000000,96995000000,
2023-01-04,127.74,383285000000,96995000000,
2023-01-05,124.85,383285000000,96995000000,
2023-01-06,127.99,383285000000,96995000000,
2023-01-09,129.36,383285000000,96995000000,
2023-01-10,130.98,383285000000,96995000000,
2023-01-11,132.42,383285000000,96995000000,
2023-01-12,131.67,383285000000,96995000000,
2023-01-13,132.51,383285000000,96995000000,
2023-01-17,134.94,383285000000,96995000000,
2023-01-18,135.42,383285000000,96995000000,
2023-01-19,135.91,383285000000,96995000000,
2023-01-20,136.80,383285000000,96995000000,
2023-01-23,140.79,383285000000,96995000000,
2023-01-24,141.94,383285000000,96995000000,
2023-01-25,142.45,383285000000,96995000000,
2023-01-26,143.34,383285000000,96995000000,
2023-01-27,144.29,383285000000,96995000000,
2023-01-30,143.48,383285000000,96995000000,
2023-01-31,144.28,383285000000,96995000000,
2023-02-01,145.21,383285000000,96995000000,
2023-02-02,145.76,383285000000,96995000000,
2023-02-03,146.07,383285000000,96995000000,
2023-02-06,149.84,383285000000,96995000000,
2023-02-07,150.24,383285000000,96995000000,
2023-02-08,150.52,383285000000,96995000000,
2023-02-09,151.24,383285000000,96995000000,
2023-02-10,152.12,383285000000,96995000000,
2023-02-13,152.58,383285000000,96995000000,
2023-02-14,152.91,383285000000,96995000000,
2023-02-15,153.58,383285000000,96995000000,
2023-02-16,154.36,383285000000,96995000000,
2023-02-17,155.12,383285000000,96995000000,
2023-02-21,155.62,383285000000,96995000000,
2023-02-22,156.07,383285000000,96995000000,
2023-02-23,156.28,383285000000,96995000000,
2023-02-24,156.49,383285000000,96995000000,
2023-02-27,156.68,383285000000,96995000000,
2023-02-28,157.02,383285000000,96995000000,
2023-03-01,157.24,383285000000,96995000000,
2023-03-02,157.38,383285000000,96995000000,
2023-03-03,157.62,383285000000,96995000000,
2023-03-06,157.87,383285000000,96995000000,
2023-03-07,158.12,383285000000,96995000000,
2023-03-08,158.34,383285000000,96995000000,
2023-03-09,158.59,383285000000,96995000000,
2023-03-10,158.81,383285000000,96995000000,
2023-03-13,159.04,383285000000,96995000000,
2023-03-14,159.28,383285000000,96995000000,
2023-03-15,159.52,383285000000,96995000000,
2023-03-16,159.74,383285000000,96995000000,
2023-03-17,159.96,383285000000,96995000000,
2023-03-20,160.18,383285000000,96995000000,
2023-03-21,160.41,383285000000,96995000000,
2023-03-22,160.63,383285000000,96995000000,
2023-03-23,160.85,383285000000,96995000000,
2023-03-24,161.07,383285000000,96995000000,
2023-03-27,161.29,383285000000,96995000000,
2023-03-28,161.51,383285000000,96995000000,
2023-03-29,161.73,383285000000,96995000000,
2023-03-30,161.95,383285000000,96995000000,
2023-03-31,162.17,383285000000,96995000000,
2023-04-03,162.39,383285000000,96995000000,
2023-04-04,162.61,383285000000,96995000000,
2023-04-05,162.83,383285000000,96995000000,
2023-04-06,163.05,383285000000,96995000000,
2023-04-10,163.27,383285000000,96995000000,
2023-04-11,163.49,383285000000,96995000000,
2023-04-12,163.71,383285000000,96995000000,
2023-04-13,163.93,383285000000,96995000000,
2023-04-14,164.15,383285000000,96995000000,
2023-04-17,164.37,383285000000,96995000000,
2023-04-18,164.59,383285000000,96995000000,
2023-04-19,164.81,383285000000,96995000000,
2023-04-20,165.03,383285000000,96995000000,
2023-04-21,165.25,383285000000,96995000000,
2023-04-24,165.47,383285000000,96995000000,
2023-04-25,165.69,383285000000,96995000000,
2023-04-26,165.91,383285000000,96995000000,
2023-04-27,166.13,383285000000,96995000000,
2023-04-28,166.35,383285000000,96995000000,
2023-05-01,166.57,383285000000,96995000000,
2023-05-02,166.79,383285000000,96995000000,
2023-05-03,167.01,383285000000,96995000000,
2023-05-04,167.23,383285000000,96995000000,
2023-05-05,167.45,383285000000,96995000000,
2023-05-08,167.67,383285000000,96995000000,
2023-05-09,167.89,383285000000,96995000000,
2023-05-10,168.11,383285000000,96995000000,
2023-05-11,168.33,383285000000,96995000000,
2023-05-12,168.55,383285000000,96995000000